subject,condition,moralCondition,condition2,round,answer,response,mLog,correct
1,guns,outrage,guns_outrage,1,1,"The increase in the banned area is large compared to the non ban, while the decrease is not as large.","cellD,start:7.215,end:7.233;,cellC,start:7.233,end:7.248;,cellA,start:7.281,end:7.581;,cellA,start:7.931,end:15.465;,cellC,start:15.565,end:16.398;,cellA,start:16.432,end:16.765;,cellB,start:16.765,end:17.681;,cellD,start:17.715,end:18.614;,cellB,start:18.648,end:20.365;,cellA,start:20.365,end:29.282;,cellB,start:29.282,end:30.682;,cellA,start:30.682,end:31.098;,cellC,start:31.182,end:33.531;,cellD,start:33.532,end:35.431;,cellB,start:35.482,end:38.598;,cellA,start:38.599,end:43.831;,cellB,start:43.832,end:44.248;,cellA,start:44.248,end:44.531;,cellC,start:44.565,end:44.931;,cellD,start:44.932,end:46.132;,cellC,start:46.132,end:46.182;,cellA,start:46.282,end:47.081;,cellB,start:47.081,end:47.615;,cellB,start:52.781,end:54.648;,cellD,start:54.698,end:55.098;,cellB,start:88.748,end:89.132;,cellD,start:89.148,end:89.932;,cellC,start:89.932,end:90.265;,cellA,start:90.332,end:90.898;,cellB,start:90.899,end:91.132;,cellC,start:91.165,end:91.448;,cellA,start:91.515,end:91.565;,cellB,start:91.565,end:91.648;",0
2,guns,outrage,guns_outrage,1,1,"The city that banned carrying concealed guns had a 223 increase, whereas the city that didn't had an increase of 107","cellB,start:8.101,end:8.156;,cellA,start:8.156,end:12.134;,cellB,start:12.134,end:13.347;,cellC,start:13.451,end:16.073;,cellD,start:16.073,end:18.123;,cellA,start:18.177,end:21.57;,cellB,start:21.57,end:23.162;,cellD,start:23.248,end:24.469;,cellC,start:24.469,end:27.973;,cellA,start:28.098,end:32.223;,cellB,start:32.224,end:32.343;,cellC,start:37.302,end:38.222;,cellD,start:38.222,end:38.273;,cellB,start:63.179,end:63.214;,cellA,start:63.214,end:64.602;,cellB,start:64.602,end:64.619;,cellD,start:76.836,end:77.186;,cellC,start:77.187,end:77.701;,cellD,start:77.701,end:77.737;",0
3,guns,outrage,guns_outrage,1,0,"It's hard to understand, but I just did a quick ratio of both numbers comparing increase and decrease","cellD,start:1.635,end:1.751;,cellA,start:1.835,end:1.868;,cellA,start:2.618,end:6.918;,cellB,start:6.934,end:12.885;,cellC,start:12.952,end:13.702;,cellD,start:13.702,end:16.368;,cellC,start:16.368,end:19.668;,cellA,start:19.786,end:23.318;,cellB,start:23.318,end:25.19;,cellA,start:25.19,end:25.219;,cellC,start:25.252,end:28.452;,cellD,start:28.452,end:29.071;,cellB,start:29.071,end:29.935;,cellA,start:29.952,end:30.602;,cellB,start:30.618,end:30.652;,cellB,start:31.053,end:36.252;,cellA,start:36.252,end:36.769;,cellB,start:36.769,end:36.802;,cellB,start:37.069,end:37.085;,cellC,start:37.102,end:37.586;,cellD,start:37.602,end:38.152;,cellC,start:38.152,end:38.552;,cellA,start:38.574,end:39.402;,cellB,start:39.402,end:40.302;",1
4,guns,outrage,guns_outrage,1,1,I would argue that the data is based on variables that are not accounted for in these results such as the socio-economic state of each city.,"cellD,start:0.625,end:0.659;,cellB,start:0.742,end:1.175;,cellA,start:1.176,end:4.524;,cellB,start:4.524,end:4.692;,cellC,start:4.774,end:6.608;,cellA,start:6.641,end:6.842;,cellB,start:6.843,end:7.259;,cellD,start:7.309,end:10.124;,cellB,start:10.709,end:11.309;,cellA,start:11.309,end:13.841;,cellB,start:13.841,end:13.858;,cellD,start:24.541,end:24.558;,cellB,start:24.575,end:24.692;,cellA,start:24.725,end:25.174;,cellC,start:25.207,end:26.975;,cellA,start:27.025,end:27.241;,cellB,start:27.241,end:27.54;,cellD,start:27.592,end:28.109;,cellC,start:28.109,end:28.341;,cellA,start:28.392,end:28.508;,cellB,start:28.525,end:28.558;",0
5,guns,outrage,guns_outrage,1,"NA","NA","cellA,start:2.355,end:2.388;,cellA,start:2.788,end:11.955;,cellC,start:11.972,end:12.155;,cellA,start:12.305,end:12.338;,cellA,start:14.605,end:15.455;,cellB,start:15.472,end:17.272;,cellA,start:17.272,end:20.088;,cellC,start:21.305,end:21.855;,cellD,start:22.072,end:24.456;,cellC,start:24.456,end:24.922;,cellA,start:24.955,end:25.389;,cellB,start:25.389,end:25.772;,cellD,start:25.789,end:26.189;,cellC,start:26.189,end:26.505;,cellA,start:26.522,end:26.889;,cellB,start:26.889,end:26.939;,cellB,start:27.239,end:27.256;,cellD,start:27.289,end:27.672;,cellC,start:27.672,end:28.072;,cellA,start:28.122,end:28.389;,cellA,start:31.639,end:35.172;,cellA,start:35.489,end:35.572;,cellB,start:35.572,end:35.622;,cellB,start:36.089,end:38.056;,cellA,start:38.056,end:38.073;,cellC,start:41.839,end:41.872;,cellD,start:42.106,end:42.773;,cellC,start:42.773,end:43.172;,cellA,start:43.206,end:43.24;,cellA,start:43.489,end:43.556;,cellB,start:43.556,end:43.956;,cellA,start:43.956,end:44.023;,cellC,start:44.056,end:44.073;,cellC,start:44.189,end:44.639;,cellD,start:44.639,end:45.106;,cellC,start:45.106,end:45.989;,cellD,start:45.989,end:46.339;,cellA,start:46.389,end:46.456;,cellA,start:46.789,end:47.19;,cellB,start:47.206,end:47.623;,cellD,start:47.639,end:48.056;,cellC,start:48.056,end:48.439;,cellA,start:48.473,end:48.89;,cellB,start:48.89,end:55.39;,cellC,start:55.406,end:58.207;,cellD,start:58.207,end:58.723;,cellB,start:58.773,end:59.223;,cellA,start:59.223,end:62.09;,cellB,start:63.157,end:63.358;,cellA,start:63.623,end:63.84;,cellC,start:101.91,end:102.291;,cellD,start:102.291,end:102.758;,cellB,start:102.775,end:102.791;,cellB,start:103.141,end:103.158;,cellA,start:103.158,end:103.275;,cellC,start:103.608,end:103.641;,cellC,start:104.008,end:104.025;,cellB,start:104.025,end:104.041;,cellD,start:111.875,end:111.908;,cellC,start:111.908,end:112.325;,cellD,start:112.325,end:112.758;,cellB,start:112.775,end:112.792;,cellB,start:113.408,end:113.442;,cellC,start:113.442,end:113.592;,cellC,start:113.725,end:113.775;,cellB,start:113.792,end:113.808;",NA
6,guns,outrage,guns_outrage,1,1,There was a higher proportion in the increase in crime in cities that banned concealed carry versus those that did not.,"cellD,start:4.661,end:4.711;,cellA,start:5.161,end:5.528;,cellC,start:5.661,end:6.111;,cellD,start:6.111,end:6.495;,cellB,start:6.545,end:7.628;,cellD,start:7.828,end:8.244;,cellB,start:8.294,end:8.561;,cellA,start:8.561,end:8.944;,cellC,start:9.028,end:9.961;,cellA,start:10.394,end:14.294;,cellB,start:14.294,end:16.428;,cellA,start:16.428,end:16.444;,cellC,start:16.478,end:17.478;,cellD,start:17.494,end:18.111;,cellC,start:18.111,end:21.694;,cellD,start:21.695,end:22.494;,cellC,start:22.495,end:22.728;,cellA,start:22.794,end:23.094;,cellB,start:23.094,end:23.511;,cellA,start:23.511,end:24.228;,cellB,start:24.244,end:24.361;,cellD,start:24.478,end:25.561;,cellB,start:25.611,end:25.978;",0
7,guns,outrage,guns_outrage,1,1,The increase in crime is twice as high as cities that did not ban. The decrease in crime is irrelaven,"cellD,start:0.033,end:1.01;,cellB,start:1.126,end:1.941;,cellA,start:1.942,end:3.394;,cellB,start:3.395,end:4.64;,cellA,start:4.641,end:6.026;,cellC,start:6.106,end:7.74;,cellD,start:7.757,end:8.556;,cellC,start:8.556,end:10.523;,cellD,start:10.523,end:11.555;,cellB,start:11.572,end:11.624;,cellB,start:11.955,end:12.039;,cellA,start:12.039,end:12.655;,cellB,start:12.655,end:13.222;,cellA,start:13.253,end:13.804;,cellB,start:13.804,end:14.04;,cellD,start:14.088,end:14.471;,cellC,start:14.471,end:15.188;,cellD,start:15.189,end:15.554;,cellB,start:15.57,end:16.021;,cellA,start:16.022,end:18.487;,cellB,start:18.502,end:19.653;,cellA,start:19.653,end:30.385;,cellB,start:30.385,end:31.382;,cellC,start:31.515,end:34.366;,cellB,start:34.547,end:35.065;,cellC,start:35.098,end:36.531;,cellB,start:40.795,end:40.845;,cellB,start:44.178,end:44.693;,cellA,start:44.71,end:47.592;,cellC,start:47.893,end:48.675;,cellA,start:48.708,end:49.243;,cellD,start:49.343,end:49.892;,cellB,start:50.226,end:50.625;,cellD,start:50.658,end:51.591;,cellB,start:51.674,end:51.691;,cellA,start:51.707,end:52.425;,cellC,start:52.474,end:52.823;,cellD,start:52.823,end:53.425;,cellB,start:53.476,end:54.057;,cellA,start:54.057,end:54.556;,cellC,start:54.623,end:54.689;,cellD,start:54.69,end:57.639;,cellB,start:57.722,end:60.189;,cellA,start:60.189,end:65.072;,cellB,start:65.072,end:65.936;,cellD,start:76.5,end:76.682;,cellA,start:76.732,end:77.317;,cellB,start:77.391,end:77.582;,cellA,start:77.582,end:77.599;,cellC,start:77.648,end:78.016;,cellD,start:78.017,end:78.698;,cellB,start:78.748,end:79.316;,cellA,start:79.316,end:79.781;,cellC,start:79.831,end:81.199;,cellA,start:81.315,end:81.764;,cellB,start:81.764,end:81.865;,cellD,start:84.68,end:84.713;,cellA,start:84.713,end:85.167;,cellB,start:85.167,end:85.18;,cellD,start:85.24,end:85.33;,cellD,start:85.639,end:85.664;,cellB,start:85.68,end:86.412;,cellD,start:86.495,end:86.633;",0
8,guns,outrage,guns_outrage,1,0,use ratios and compare,"cellD,start:0.115,end:0.294;,cellB,start:0.411,end:0.461;,cellA,start:4.245,end:4.328;,cellC,start:5.512,end:6.263;,cellA,start:6.462,end:8.08;,cellB,start:8.08,end:8.447;,cellD,start:8.53,end:8.931;,cellB,start:8.997,end:9.013;,cellA,start:9.381,end:9.747;,cellC,start:10.498,end:11.248;,cellA,start:11.499,end:11.931;,cellB,start:11.932,end:11.981;,cellB,start:16,end:16.084;,cellA,start:16.084,end:16.801;,cellB,start:16.818,end:17.351;,cellA,start:17.368,end:18.185;,cellC,start:18.185,end:18.568;,cellA,start:18.568,end:18.985;,cellB,start:18.985,end:19.502;,cellD,start:19.502,end:19.902;,cellC,start:19.902,end:20.135;,cellA,start:20.135,end:20.652;,cellC,start:20.652,end:21.119;,cellA,start:21.119,end:21.452;,cellB,start:21.452,end:21.786;,cellD,start:21.786,end:22.153;,cellB,start:22.153,end:22.536;,cellA,start:22.536,end:22.869;,cellC,start:22.869,end:23.27;,cellA,start:23.287,end:23.721;,cellD,start:23.721,end:23.787;,cellD,start:30.323,end:30.339;,cellB,start:30.34,end:30.373;,cellA,start:30.373,end:30.39;,cellA,start:30.723,end:32.324;,cellC,start:32.324,end:32.741;,cellA,start:32.741,end:34.575;,cellB,start:34.575,end:35.158;,cellD,start:35.158,end:37.81;,cellD,start:39.81,end:39.844;,cellC,start:39.861,end:39.877;,cellA,start:39.877,end:43.579;,cellB,start:43.596,end:44.112;,cellA,start:44.112,end:46.996;,cellB,start:46.997,end:48.564;,cellC,start:49.614,end:50.164;,cellD,start:50.181,end:50.748;,cellC,start:51.315,end:51.765;,cellA,start:51.765,end:52.066;,cellB,start:52.082,end:52.566;,cellD,start:52.566,end:53.066;,cellC,start:53.066,end:53.433;,cellA,start:53.45,end:53.783;,cellB,start:53.783,end:55.367;,cellB,start:57.668,end:57.701;,cellA,start:57.701,end:62.92;,cellC,start:62.92,end:62.97;,cellC,start:63.304,end:63.336;,cellA,start:63.337,end:63.787;,cellB,start:63.787,end:67.205;,cellD,start:67.205,end:67.255;,cellD,start:67.405,end:67.639;,cellC,start:67.639,end:68.089;,cellD,start:68.089,end:69.99;,cellA,start:70.006,end:70.49;,cellB,start:70.49,end:72.957;",1
9,guns,outrage,guns_outrage,1,"NA","NA","cellD,start:3.534,end:3.834;,cellC,start:3.834,end:4.019;,cellA,start:4.085,end:4.903;,cellB,start:4.904,end:5.372;,cellD,start:5.372,end:5.607;,cellB,start:5.69,end:6.528;,cellC,start:6.528,end:6.861;,cellA,start:6.911,end:7.748;,cellD,start:7.748,end:8.466;,cellB,start:8.55,end:8.767;,cellD,start:9.621,end:9.688;,cellB,start:9.878,end:10.005;,cellD,start:10.038,end:10.557;,cellB,start:10.608,end:10.959;,cellA,start:10.959,end:11.611;,cellC,start:11.645,end:13.233;,cellD,start:13.233,end:14.002;,cellB,start:14.087,end:14.538;,cellA,start:14.555,end:14.739;,cellC,start:14.756,end:15.559;,cellA,start:15.575,end:19.673;,cellB,start:19.673,end:20.844;,cellC,start:20.995,end:21.898;,cellD,start:21.898,end:23.219;,cellC,start:23.219,end:24.273;,cellD,start:24.273,end:24.323;,cellB,start:24.373,end:25.56;,cellA,start:25.56,end:26.146;,cellD,start:26.281,end:26.48;,cellC,start:26.48,end:27.033;,cellD,start:27.033,end:28.17;,cellC,start:28.17,end:28.421;,cellB,start:28.488,end:30.679;,cellA,start:30.68,end:31.332;,cellB,start:31.332,end:31.8;,cellD,start:31.85,end:33.221;,cellC,start:33.222,end:33.824;,cellD,start:33.824,end:33.891;,cellB,start:34.175,end:34.259;,cellA,start:34.259,end:35.412;,cellC,start:35.547,end:35.63;,cellD,start:35.647,end:36.018;",NA
10,guns,outrage,guns_outrage,1,1,as there could be more guns out there for hire,"cellA,start:7.095,end:7.965;,cellB,start:9.641,end:13.057;,cellC,start:13.157,end:13.621;,cellD,start:16.79,end:19.228;,cellD,start:22.365,end:22.539;",0
